#{"t_start": 1731331267.9739974, "env_id": "CartPole-v1"}
r,l,t
500.0,500,292.001698
500.0,500,292.78969
500.0,500,293.578424
500.0,500,294.370148
500.0,500,295.168651
500.0,500,295.963123
500.0,500,296.744122
500.0,500,297.534402
500.0,500,298.327734
418.0,418,298.981334
239.0,239,299.351645
223.0,223,299.697242
203.0,203,300.010339
175.0,175,300.279531
162.0,162,300.530622
144.0,144,300.752321
131.0,131,300.954926
181.0,181,301.234996
147.0,147,301.461741
151.0,151,301.6952
138.0,138,301.908991
134.0,134,302.123845
140.0,140,302.345072
143.0,143,302.569703
130.0,130,302.774477
144.0,144,302.997271
163.0,163,303.251848
145.0,145,303.476936
121.0,121,303.679411
147.0,147,303.908892
153.0,153,304.145177
131.0,131,304.349885
138.0,138,304.564206
159.0,159,304.811523
145.0,145,305.039785
151.0,151,305.272458
138.0,138,305.485207
178.0,178,305.763917
145.0,145,305.988998
164.0,164,306.243687
128.0,128,306.442045
132.0,132,306.649036
121.0,121,306.837892
138.0,138,307.052411
140.0,140,307.271037
148.0,148,307.497848
137.0,137,307.716636
126.0,126,307.916615
131.0,131,308.119936
136.0,136,308.327714
158.0,158,308.571846
154.0,154,308.814286
142.0,142,309.039678
154.0,154,309.279907
186.0,186,309.575902
219.0,219,309.930239
129.0,129,310.13706
145.0,145,310.367282
131.0,131,310.586904
157.0,157,310.833527
160.0,160,311.087468
138.0,138,311.314796
121.0,121,311.508507
119.0,119,311.699256
139.0,139,311.921705
262.0,262,312.334715
174.0,174,312.611728
206.0,206,312.930079
129.0,129,313.136868
141.0,141,313.363953
271.0,271,313.800923
160.0,160,314.053687
138.0,138,314.271116
261.0,261,314.678607
232.0,232,315.041322
157.0,157,315.294111
146.0,146,315.519465
143.0,143,315.751546
190.0,190,316.052605
168.0,168,316.313131
200.0,200,316.622138
184.0,184,316.910507
174.0,174,317.182361
166.0,166,317.437536
143.0,143,317.660027
134.0,134,317.870648
172.0,172,318.139253
126.0,126,318.340074
182.0,182,318.635349
164.0,164,318.895988
192.0,192,319.193993
127.0,127,319.390398
173.0,173,319.666084
213.0,213,320.002645
134.0,134,320.2127
182.0,182,320.500532
189.0,189,320.805796
150.0,150,321.041072
177.0,177,321.321836
121.0,121,321.516233
188.0,188,321.814176
181.0,181,322.100248
170.0,170,322.367432
167.0,167,322.631444
176.0,176,322.909075
190.0,190,323.208391
217.0,217,323.55421
128.0,128,323.755969
205.0,205,324.08749
116.0,116,324.275281
247.0,247,324.670209
232.0,232,325.029926
245.0,245,325.408336
148.0,148,325.640362
152.0,152,325.878361
161.0,161,326.133042
189.0,189,326.430044
193.0,193,326.732319
138.0,138,326.944902
120.0,120,327.129032
199.0,199,327.432776
114.0,114,327.61438
276.0,276,328.04443
298.0,298,328.501838
311.0,311,328.997314
271.0,271,329.422478
299.0,299,329.903378
410.0,410,330.561794
337.0,337,331.094281
263.0,263,331.504108
266.0,266,331.926035
290.0,290,332.396324
271.0,271,332.817562
252.0,252,333.209329
257.0,257,333.616374
276.0,276,334.072047
244.0,244,334.457033
264.0,264,334.866162
449.0,449,335.558236
151.0,151,335.79433
311.0,311,336.281361
160.0,160,336.530847
334.0,334,337.064697
287.0,287,337.509202
304.0,304,337.983968
319.0,319,338.480986
394.0,394,339.103586
88.0,88,339.24232
161.0,161,339.498211
68.0,68,339.608443
67.0,67,339.713814
71.0,71,339.825892
67.0,67,339.93001
86.0,86,340.063126
75.0,75,340.177454
52.0,52,340.25742
79.0,79,340.378165
70.0,70,340.484722
317.0,317,340.976238
85.0,85,341.104834
283.0,283,341.539695
185.0,185,341.826369
145.0,145,342.048005
214.0,214,342.377066
327.0,327,342.876192
328.0,328,343.373832
234.0,234,343.733574
248.0,248,344.116898
224.0,224,344.45918
236.0,236,344.82929
314.0,314,345.32391
264.0,264,345.750582
217.0,217,346.084635
230.0,230,346.447607
292.0,292,346.912762
269.0,269,347.335253
257.0,257,347.735349
397.0,397,348.340846
294.0,294,348.792303
333.0,333,349.299117
348.0,348,349.828209
297.0,297,350.274369
296.0,296,350.728466
287.0,287,351.161709
306.0,306,351.625385
283.0,283,352.06033
456.0,456,352.749905
395.0,395,353.350744
348.0,348,353.884854
344.0,344,354.412039
356.0,356,354.966581
389.0,389,355.565218
317.0,317,356.056816
409.0,409,356.67555
323.0,323,357.176484
226.0,226,357.52954
459.0,459,358.249552
381.0,381,358.837509
214.0,214,359.173003
354.0,354,359.708475
205.0,205,360.019224
500.0,500,360.781637
363.0,363,361.338998
280.0,280,361.76716
231.0,231,362.117406
446.0,446,362.788476
310.0,310,363.260309
454.0,454,363.982035
239.0,239,364.351604
295.0,295,364.816077
323.0,323,365.315976
221.0,221,365.658179
500.0,500,366.46224
274.0,274,366.908956
295.0,295,367.365928
233.0,233,367.750828
413.0,413,368.422012
500.0,500,370.303762
190.0,190,370.935621
227.0,227,371.689229
227.0,227,372.44363
454.0,454,373.952908
286.0,286,374.902581
480.0,480,376.496809
240.0,240,377.294743
441.0,441,378.761624
