#{"t_start": 1731331267.9739974, "env_id": "CartPole-v1"}
r,l,t
10.0,10,3.638965
10.0,10,3.651031
10.0,10,3.66318
8.0,8,3.672689
10.0,10,3.684709
10.0,10,3.696977
10.0,10,3.70908
10.0,10,3.72128
10.0,10,3.733592
10.0,10,3.749628
9.0,9,3.765035
8.0,8,3.775231
9.0,9,3.786537
11.0,11,3.800072
10.0,10,3.812329
11.0,11,3.825992
9.0,9,3.837064
10.0,10,3.849388
8.0,8,3.859167
11.0,11,3.874108
10.0,10,3.886415
11.0,11,3.899867
10.0,10,3.912176
12.0,12,3.926842
9.0,9,3.938727
11.0,11,3.95265
10.0,10,3.96475
12.0,12,3.979571
9.0,9,3.99065
10.0,10,4.002982
12.0,12,4.017868
9.0,9,4.028995
11.0,11,4.042497
10.0,10,4.054675
10.0,10,4.067237
10.0,10,4.079671
10.0,10,4.091906
9.0,9,4.103257
11.0,11,4.1166
12.0,12,4.131111
9.0,9,4.142249
10.0,10,4.154516
9.0,9,4.16581
12.0,12,4.18054
12.0,12,4.195497
10.0,10,4.208111
10.0,10,4.22058
10.0,10,4.233104
12.0,12,4.248021
9.0,9,4.259439
10.0,10,4.272045
11.0,11,4.285683
9.0,9,4.297142
8.0,8,4.307223
10.0,10,4.319935
12.0,12,4.334849
10.0,10,4.347376
9.0,9,4.358584
12.0,12,4.373964
8.0,8,4.384887
9.0,9,4.396233
11.0,11,4.409914
11.0,11,4.424179
10.0,10,4.436777
9.0,9,4.448057
8.0,8,4.458125
11.0,11,4.472078
14.0,14,4.490111
10.0,10,4.50285
9.0,9,4.514213
12.0,12,4.529987
10.0,10,4.542433
10.0,10,4.555182
9.0,9,4.566518
13.0,13,4.583412
9.0,9,4.595427
9.0,9,4.610528
11.0,11,4.625144
11.0,11,4.638855
10.0,10,4.651662
11.0,11,4.666562
9.0,9,4.677871
14.0,14,4.69527
9.0,9,4.706577
9.0,9,4.717925
9.0,9,4.729385
10.0,10,4.741747
10.0,10,4.755472
10.0,10,4.768179
11.0,11,4.782291
11.0,11,4.796519
12.0,12,4.81184
10.0,10,4.825063
9.0,9,4.838097
11.0,11,4.852348
9.0,9,4.863946
10.0,10,4.876962
11.0,11,4.89124
11.0,11,4.905951
9.0,9,4.917872
9.0,9,4.929483
11.0,11,4.944102
11.0,11,4.958392
10.0,10,4.971399
11.0,11,4.985551
10.0,10,4.998512
10.0,10,5.011581
10.0,10,5.024251
9.0,9,5.035968
10.0,10,5.048775
13.0,13,5.0657
11.0,11,5.080618
8.0,8,5.091283
11.0,11,5.107376
13.0,13,5.124575
12.0,12,5.140247
9.0,9,5.151558
11.0,11,5.165977
10.0,10,5.179234
9.0,9,5.19094
10.0,10,5.204111
12.0,12,5.219749
9.0,9,5.231255
11.0,11,5.245548
11.0,11,5.259806
11.0,11,5.274231
9.0,9,5.286031
9.0,9,5.29751
9.0,9,5.309201
8.0,8,5.320049
9.0,9,5.33208
11.0,11,5.347
