Mon Nov 11 17:34:01 2024    output.prof

         19163925 function calls (17691946 primitive calls) in 45.691 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/packaging/_manylinux.py:1(<module>)
     2559    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/typing.py:1031(__eq__)
     3967    0.001    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/dataclasses.py:424(<genexpr>)
        2    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/monitor.py:31(__init__)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/matrices/expressions/special.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/exc.py:1(<module>)
        3    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/mpmath/functions/functions.py:18(__init__)
       50    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/axis.py:433(update_position)
        4    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/offsetbox.py:651(draw)
       26    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/inspect.py:1244(getfullargspec)
        2    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/pandas/core/series.py:607(_init_dict)
        2    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/email/parser.py:59(parsestr)
     2070    0.001    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/functools.py:65(wraps)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/core/mod.py:1(<module>)
       36    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/lines.py:1188(set_marker)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/simplify/hyperexpand.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/functions/special/elliptic_integrals.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/setuptools/monkey.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/polys/agca/homomorphisms.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_external_property_file_references.py:1(<module>)
       74    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/artist.py:1152(update_from)
      912    0.001    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_ops.py:1003(<genexpr>)
       87    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/json/encoder.py:182(encode)
       18    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/numpy/_core/numeric.py:2315(isclose)
       81    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/traceback.py:301(line)
        2    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/email/parser.py:41(parse)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/utils/tensorboard/writer.py:53(__init__)
     1645    0.001    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/transforms.py:113(__init__)
       88    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/optree/typing.py:314(wrapped)
     1337    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/queue.py:213(_put)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/importlib/metadata/__init__.py:624(version)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/tensorboard/summary/writer/event_file_writer.py:54(__init__)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/subprocess.py:758(__init__)
       94    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/markers.py:250(_recache)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/setuptools/_normalization.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_artifact_content.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/importlib/metadata/__init__.py:597(metadata)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/triton/compiler/code_generator.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:1(<module>)
        4    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/axes/_base.py:226(__call__)
      118    0.000    0.000    0.001    0.000 {method 'all' of 'numpy.ndarray' objects}
      294    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/numpy/_core/_methods.py:46(_amin)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/optree/functools.py:1(<module>)
        2    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/legend_handler.py:86(update_prop)
      295    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/cbook.py:924(get_siblings)
      262    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/lines.py:1275(set_xdata)
       12    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/init.py:456(kaiming_uniform_)
       88    0.001    0.000    0.001    0.000 {built-in method optree._C.is_structseq_class}
     8183    0.001    0.000    0.001    0.000 {method 'span' of 're.Match' objects}
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/functions/elementary/miscellaneous.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/figure.py:2406(__init__)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/encodings/idna.py:1(<module>)
      527    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/distributed/tensor/_sharding_prop.py:94(register_op_strategy)
       37    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:3177(_module_dir)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/setuptools/_distutils/archive_util.py:1(<module>)
       18    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/ticker.py:730(_compute_offset)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/assumptions/ask.py:1(<module>)
      452    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.affine_transform}
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/external/gmpy.py:1(<module>)
        4    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/axis.py:1215(_set_lim)
     1661    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
     4951    0.001    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/utils.py:133(func)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/axes/_base.py:2877(autoscale_view)
       15    0.000    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_functorch/make_functional.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/functions/special/mathieu_functions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/distributed/_composable/checkpoint_activation.py:1(<module>)
      102    0.001    0.000    0.001    0.000 {built-in method torch._C._get_operation_overload}
        4    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/gymnasium/spaces/box.py:13(_short_repr)
 1196/988    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/typing.py:1037(__hash__)
        2    0.000    0.000    0.001    0.000 /home/rikka/files/codes/my-RL-lib/my_rl_library/utils/MyFCNN.py:6(__init__)
       36    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_tensor.py:257(_reduce_ex_internal)
      247    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/_api/__init__.py:64(check_isinstance)
     3122    0.001    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/tensorboard/summary/writer/event_file_writer.py:206(_check_worker_status)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/variables/lists.py:1(<module>)
       36    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/ticker.py:217(<listcomp>)
       36    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/enum.py:165(__prepare__)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/subprocess.py:1703(_execute_child)
       24    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/pandas/core/indexes/base.py:7593(ensure_index)
        2    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/pandas/core/internals/construction.py:96(arrays_to_mgr)
       47    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_numpy/_ufuncs.py:289(deco_unary_ufunc)
      363    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/transforms.py:158(invalidate)
     4890    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
       34    0.000    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1882    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/inspect.py:277(isfunction)
      282    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/dataclasses.py:572(<listcomp>)
       81    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/linecache.py:26(getline)
      307    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/pathlib.py:634(as_posix)
        2    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/axes/_base.py:388(_plot_args)
      118    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/numpy/_core/_methods.py:67(_all)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/distributed/_shard/sharding_plan/__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/triton/language/core.py:714(tensor)
       88    0.001    0.000    0.001    0.000 {built-in method torch._C._jit_get_operation}
      342    0.000    0.000    0.001    0.000 {method 'max' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/printing/pretty/pretty_symbology.py:1(<module>)
      168    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/text.py:1282(_preprocess_math)
        2    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/email/feedparser.py:173(feed)
       73    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/font_manager.py:1531(get_font)
    11408    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.001    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/utils/_sympy/numbers.py:1(<module>)
       44    0.000    0.000    0.001    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/transforms.py:2834(nonsingular)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/interactive/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/mpmath/libmp/gammazeta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/numpy/fft/_pocketfft.py:1(<module>)
1171/1170    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/pandas/core/series.py:5773(isna)
    77/76    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/transforms.py:1787(__eq__)
      991    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      114    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/colors.py:240(_check_color_like)
        2    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/pandas/core/generic.py:8693(isna)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/distributed/nn/jit/instantiator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/variables/tensor.py:92(TensorVariable)
       41    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/triton/runtime/jit.py:742(<listcomp>)
    82/41    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/core/sorting.py:10(default_sort_key)
     1086    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        9    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_library/utils.py:59(lookup_op)
        2    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/axis.py:633(__init__)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/PIL/Image.py:652(_ensure_mutable)
     1970    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/inspect.py:191(isclass)
        2    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/legend_handler.py:77(_update_prop)
      453    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/colors.py:216(_is_nth_color)
        2    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/pandas/core/dtypes/missing.py:101(isna)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/distributed/tensor/_ops/_einsum_strategy.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/pandas/core/dtypes/missing.py:184(_isna)
        2    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/legend_handler.py:83(_default_update_prop)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_region.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/multipledispatch/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/matrices/expressions/blockmatrix.py:1(<module>)
        7    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/patches.py:48(__init__)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/PIL/Image.py:647(_copy)
        6    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/pandas/core/indexes/base.py:475(__new__)
       18    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/ticker.py:803(_set_format)
        4    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/email/feedparser.py:178(_call_parse)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/parsing/sympy_parser.py:1(<module>)
     1337    0.000    0.000    0.000    0.000 {method 'SerializeToString' of 'google._upb._message.Message' objects}
       24    0.000    0.000    0.000    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/utilities/lambdify.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_decomp/__init__.py:178(decomposition_decorator)
        4    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/email/feedparser.py:218(_parsegen)
     2499    0.000    0.000    0.000    0.000 {built-in method torch._C._has_torch_function_variadic}
      411    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/sre_parse.py:356(_escape)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'ImagingCore' objects}
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/email/__init__.py:32(message_from_string)
      451    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/mpmath/libmp/gammazeta.py:1372(<listcomp>)
       19    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/typing.py:1323(__class_getitem__)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_numpy/_normalizations.py:1(<module>)
      120    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/transforms.py:2358(__init__)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/series/fourier.py:1(<module>)
     1077    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        2    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/pandas/io/parsers/c_parser_wrapper.py:222(read)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/distributed/fsdp/fully_sharded_data_parallel.py:127(FullyShardedDataParallel)
      223    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/tqdm/std.py:106(release)
        2    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/axes/_base.py:2936(handle_single_axis)
        4    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/utils/_pytree.py:967(tree_map_)
     1337    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/queue.py:209(_qsize)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/setuptools/_vendor/backports/tarfile/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/assumptions/relation/equality.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/device_interface.py:1(<module>)
       38    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/copy.py:237(_deepcopy_method)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/printing/lambdarepr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/concrete/expr_with_intlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/subprocess.py:1110(communicate)
      896    0.000    0.000    0.000    0.000 {method 'extend' of 'collections.deque' objects}
      426    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/mpmath/libmp/libmpf.py:291(from_man_exp)
     2699    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/enum.py:678(__new__)
      150    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/ticker.py:594(__call__)
     1334    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/gymnasium/core.py:121(reset)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/onnx/symbolic_opset11.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/distributed/_shard/metadata.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/tqdm/std.py:90(__init__)
      106    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/modules/module.py:2101(_save_to_state_dict)
        8    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/numpy/_core/arrayprint.py:473(_get_format_function)
     4404    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x72e74232c700}
      966    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/tqdm/std.py:116(create_mp_lock)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/distributed/tensor/_ops/_tensor_ops.py:1(<module>)
     1091    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/dataclasses.py:286(__init__)
        2    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/pandas/core/internals/managers.py:2121(create_block_manager_from_column_arrays)
     2774    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/core/facts.py:582(_tell)
       18    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/pandas/core/construction.py:517(sanitize_array)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/geometry/polygon.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/axis.py:2339(__init__)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/multiprocessing/context.py:70(RLock)
       14    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/distributed/_shard/common_op_utils.py:51(_register_default_op)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_web_request.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/onnx/_internal/diagnostics/infra/sarif/_result_provenance.py:1(<module>)
      857    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/inspect.py:632(_is_wrapper)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/functions/special/tensor_functions.py:1(<module>)
        3    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/offsetbox.py:684(__init__)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/algebras/__init__.py:1(<module>)
     1187    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_ops.py:723(__hash__)
       24    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/text.py:342(update_from)
       79    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/cloudpickle/cloudpickle.py:1340(reducer_override)
      322    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/typing.py:253(_deduplicate)
     1334    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/gymnasium/envs/classic_control/utils.py:17(maybe_parse_reset_bounds)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/ntheory/partitions_.py:1(<module>)
     1655    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_ops.py:1030(__hash__)
        1    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/sympy/printing/latex.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/pandas/core/window/rolling.py:2216(mean)
    20/15    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/typing.py:1046(__getitem__)
       83    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/contextlib.py:252(contextmanager)
      539    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        2    0.000    0.000    0.000    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/pandas/core/window/rolling.py:1605(mean)
