Mon Nov 11 17:34:01 2024    output.prof

         19163925 function calls (17691946 primitive calls) in 45.691 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.761    0.761 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/dqn/dqn.py:76(__init__)
        1    0.000    0.000    0.751    0.751 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/dqn/dqn.py:143(_setup_model)
        1    0.000    0.000    0.751    0.751 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/off_policy_algorithm.py:172(_setup_model)
    24824    0.027    0.000    0.722    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_ops.py:939(__call__)
  3658/12    0.007    0.000    0.706    0.059 <frozen importlib._bootstrap>:1022(_find_and_load)
   998/11    0.002    0.000    0.706    0.064 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
   968/10    0.002    0.000    0.705    0.070 <frozen importlib._bootstrap>:664(_load_unlocked)
  1223/10    0.000    0.000    0.705    0.070 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   964/10    0.001    0.000    0.705    0.070 <frozen importlib._bootstrap_external>:877(exec_module)
 1922/916    0.002    0.000    0.701    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    0.701    0.701 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/dqn/policies.py:111(__init__)
        1    0.000    0.000    0.701    0.701 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/dqn/policies.py:153(_build)
    250/8    0.000    0.000    0.701    0.088 {built-in method builtins.__import__}
        2    0.000    0.000    0.699    0.350 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/optim/adam.py:33(__init__)
        2    0.000    0.000    0.699    0.350 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/optim/optimizer.py:343(__init__)
        1    0.000    0.000    0.699    0.699 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/__init__.py:1(<module>)
    14000    0.007    0.000    0.698    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/policies.py:203(set_training_mode)
126005/14001    0.133    0.000    0.691    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/modules/module.py:2827(train)
     9024    0.030    0.000    0.642    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/policies.py:236(obs_to_tensor)
        1    0.000    0.000    0.602    0.602 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/convert_frame.py:1(<module>)
    38437    0.027    0.000    0.590    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/modules/container.py:358(__iadd__)
    59622    0.588    0.000    0.588    0.000 {method 'lerp_' of 'torch._C.TensorBase' objects}
    20000    0.059    0.000    0.571    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/monitor.py:85(step)
     2475    0.019    0.000    0.571    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/utils/clip_grad.py:28(_no_grad_wrapper)
    38437    0.124    0.000    0.563    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/modules/container.py:430(extend)
    24824    0.028    0.000    0.532    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_ops.py:993(_must_dispatch_in_python)
    10000    0.008    0.000    0.529    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/vec_env/base_vec_env.py:198(step)
     2475    0.052    0.000    0.527    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/utils/clip_grad.py:36(clip_grad_norm_)
    10000    0.053    0.000    0.519    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/vec_env/dummy_vec_env.py:55(step_wait)
    24824    0.025    0.000    0.504    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/utils/_pytree.py:1197(tree_any)
    59628    0.500    0.000    0.500    0.000 {method 'mul_' of 'torch._C.TensorBase' objects}
28525/28390    0.031    0.000    0.484    0.000 {built-in method builtins.any}
    59622    0.482    0.000    0.482    0.000 {method 'addcdiv_' of 'torch._C.TensorBase' objects}
    59622    0.475    0.000    0.475    0.000 {method 'add_' of 'torch._C.TensorBase' objects}
    24824    0.061    0.000    0.443    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/autograd/profiler.py:732(__enter__)
1827214/1547018    0.241    0.000    0.438    0.000 {built-in method builtins.isinstance}
    59622    0.437    0.000    0.437    0.000 {method 'sqrt' of 'torch._C.TensorBase' objects}
    20000    0.030    0.000    0.436    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/gymnasium/wrappers/time_limit.py:46(step)
   140111    0.182    0.000    0.431    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/nn/modules/module.py:1935(__setattr__)
173768/49648    0.160    0.000    0.422    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/utils/_pytree.py:890(tree_iter)
    20000    0.017    0.000    0.406    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/gymnasium/wrappers/order_enforcing.py:52(step)
    12412    0.287    0.000    0.400    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/optim/adam.py:114(_init_group)
     2475    0.003    0.000    0.393    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/buffers.py:284(sample)
     2475    0.023    0.000    0.391    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/buffers.py:105(sample)
    20000    0.021    0.000    0.389    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/gymnasium/wrappers/env_checker.py:45(step)
     9024    0.008    0.000    0.386    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/utils.py:476(obs_as_tensor)
    24824    0.026    0.000    0.382    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_ops.py:1105(__call__)
     9024    0.377    0.000    0.377    0.000 {built-in method torch.as_tensor}
    20000    0.153    0.000    0.369    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/gymnasium/envs/classic_control/cartpole.py:132(step)
    24824    0.356    0.000    0.356    0.000 {built-in method torch._ops.profiler._record_function_enter_new}
